x y w logw
0.88146427 0.11182658 1.110743e-03 -2.9544
0.09559678 0.86369748 1.129078e-03 -2.9473
0.90440322 0.13630252 1.129078e-03 -2.9473
0.09995402 0.10512214 9.262845e-04 -3.0333
0.90004598 0.89487786 9.262845e-04 -3.0333
0.51503233 0.93521658 1.259731e-03 -2.8997
0.48496767 0.06478342 1.259731e-03 -2.8997
0.47158010 0.91824446 1.528970e-03 -2.8156
0.52841990 0.08175554 1.528970e-03 -2.8156
0.07401952 0.54581982 9.748547e-04 -3.0111
0.92598048 0.45418018 9.748547e-04 -3.0111
0.06570375 0.48810566 1.143171e-03 -2.9419
0.93429625 0.51189434 1.143171e-03 -2.9419
0.54895883 0.91672754 1.516088e-03 -2.8193
0.45104117 0.08327246 1.516088e-03 -2.8193
0.40422475 0.91572300 1.401486e-03 -2.8534
0.59577525 0.08427700 1.401486e-03 -2.8534
0.07797588 0.56441508 6.163804e-04 -3.2102
0.92202412 0.43558492 6.163804e-04 -3.2102
0.07671043 0.44374396 2.580184e-04 -3.5883
0.92328957 0.55625604 2.580184e-04 -3.5883
0.58745409 0.89608399 9.551092e-04 -3.0199
0.41254591 0.10391601 9.551092e-04 -3.0199
0.37193419 0.89052497 1.472810e-03 -2.8319
0.62806581 0.10947503 1.472810e-03 -2.8319
0.09333057 0.59830530 1.572194e-03 -2.8035
0.90666943 0.40169470 1.572194e-03 -2.8035
0.10110205 0.34569482 1.547527e-03 -2.8104
0.89889795 0.65430518 1.547527e-03 -2.8104
0.62021487 0.91968104 1.514643e-03 -2.8197
0.37978513 0.08031896 1.514643e-03 -2.8197
0.34294266 0.91131177 1.302767e-03 -2.8851
0.65705734 0.08868823 1.302767e-03 -2.8851
0.09351943 0.67294408 1.530528e-03 -2.8152
0.90648057 0.32705592 1.530528e-03 -2.8152
0.06278974 0.27196788 1.157751e-03 -2.9364
0.93721026 0.72803212 1.157751e-03 -2.9364
0.65807659 0.89888741 1.590296e-03 -2.7985
0.34192341 0.10111259 1.590296e-03 -2.7985
0.29076836 0.91080359 8.219146e-04 -3.0852
0.70923164 0.08919641 8.219146e-04 -3.0852
0.07401041 0.70826872 1.336065e-03 -2.8742
0.92598959 0.29173128 1.336065e-03 -2.8742
0.08179652 0.24009196 1.283927e-03 -2.8915
0.91820348 0.75990804 1.283927e-03 -2.8915
0.72408185 0.89930430 1.475357e-03 -2.8311
0.27591815 0.10069570 1.475357e-03 -2.8311
0.26679195 0.88714741 9.200432e-04 -3.0362
0.73320805 0.11285259 9.200432e-04 -3.0362
0.09493050 0.74334281 1.418001e-03 -2.8483
0.90506950 0.25665719 1.418001e-03 -2.8483
0.12971630 0.23765539 1.541063e-03 -2.8122
0.87028370 0.76234461 1.541063e-03 -2.8122
0.80900535 0.91900451 5.137529e-04 -3.2892
0.19099465 0.08099549 5.137529e-04 -3.2892
0.20145320 0.92392070 9.886939e-04 -3.0049
0.79854680 0.07607930 9.886939e-04 -3.0049
0.08276950 0.78256134 8.575129e-04 -3.0668
0.91723050 0.21743866 8.575129e-04 -3.0668
0.08445948 0.17603561 1.218666e-03 -2.9141
0.91554052 0.82396439 1.218666e-03 -2.9141
0.85581735 0.93282456 9.235057e-04 -3.0346
0.14418265 0.06717544 9.235057e-04 -3.0346
0.14172875 0.91132117 1.027306e-03 -2.9883
0.85827125 0.08867883 1.027306e-03 -2.9883
0.07398714 0.83837402 1.065890e-03 -2.9723
0.92601286 0.16162598 1.065890e-03 -2.9723
0.08092931 0.12653417 9.232830e-04 -3.0347
0.91907069 0.87346583 9.232830e-04 -3.0347
0.81537659 0.92564233 7.475205e-04 -3.1264
0.18462341 0.07435767 7.475205e-04 -3.1264
0.17502106 0.91652159 3.388491e-04 -3.4700
0.82497894 0.08347841 3.388491e-04 -3.4700
0.08402843 0.80327092 5.418029e-04 -3.2662
0.91597157 0.19672908 5.418029e-04 -3.2662
0.10679069 0.14784725 1.259677e-03 -2.8997
0.89320931 0.85215275 1.259677e-03 -2.8997
